__event__,mu1_px,mu1_py,mu1_pz,mu1_E,mu1_muonID,mu2_px,mu2_py,mu2_pz,mu2_E,mu2_muonID,K_px,K_py,K_pz,K_E,K_kaonID,Mbc,deltaE,jpsi_InvM,InvM
1,-0.12034249142524467,1.8143294969715684,0.30556225169014245,1.8468367062717121,0.0,-1.025047746658937,-0.5943269880799213,2.1194249995710464,2.430447175243375,0.0,1.100889728225322,-0.9595100376280218,-0.007126245472862574,1.541552940941209,0.0,5.278292645128554,0.008226560666603433,3.10068852274604,5.286111377950602
5,-0.15201442322420392,-1.5555297867550981,0.017630689363237438,1.5666064709138119,0.0,1.7736029168554686,0.5232376387950566,1.4722654406599247,2.366046101039173,0.0,-1.2354310953367647,0.9484570874233514,0.6609222928964938,1.7624971193125802,0.0,5.278905751114762,-0.016920253430803278,3.0904351557690317,5.258570553289068
9,1.5201898476903013,0.20753549807793092,1.1187705413036615,1.9018042410361433,0.0,-0.9174517327708186,-1.581330751916318,0.5076336216810375,1.9003105572333352,0.0,-0.828095670832572,1.5450214415235897,0.4912100845203045,1.8862232164520514,0.0,5.275500275589135,-0.006371449812352381,3.0919702138281067,5.271887217414041
10,-1.0656601364014582,-1.8552222118988273,0.48225504209005976,2.195726439839511,0.0,0.7598122470216805,0.76046879184202,-0.24734727451788824,1.1081388899647377,0.0,0.2120728370641711,1.3275673745202978,1.9078431654776604,2.38558012787246,0.0,5.279731235548336,-0.012816716615180468,3.093269544681267,5.264542901046821
13,0.6212710307193835,-0.7757934595332107,-0.8154663502875339,1.289954357746025,0.0,-1.552723171516187,-0.10106822324758309,1.4319177511533159,2.1172425865575106,0.0,1.3743880615157589,0.919562479762513,1.5582449162692047,2.325162767900744,0.0,5.27608569424104,0.010722660490536384,3.0971743874567106,5.285132752392909
15,-0.20205485900522946,-1.0328503077788056,0.04166747580358582,1.0585394626641447,0.0,-0.5549186741482324,2.316709990665767,0.3547263683980363,2.4108244240004137,0.0,0.5260164915134213,-1.1437824651302357,1.870273587258169,2.307936729723765,0.0,5.277242968300568,0.028537426372731822,3.107740832684384,5.307208153564622
25,1.1689041552936705,-1.0028406054909589,-0.9012060065841497,1.7875575967612036,0.0,0.36640242185469024,0.9963685540559781,1.3155321644407585,1.6937501578101262,0.0,-1.3684361635235749,-0.14557700095657988,1.6352195546605435,2.193506364048178,0.0,5.282681201262323,0.004570531084358009,3.0968741246084677,5.2869568755484835
29,-0.020937574934437136,1.404662818051091,2.8175522214032234,3.150123842953585,0.0,0.9391436213452753,-0.40031567541896323,-0.29916137923572794,1.0690671650915757,0.0,-0.6148807447212759,-1.1841992613320602,-0.4033770181476095,1.4787955301078797,0.0,5.279807201486343,-0.00020427549397439293,3.0995910701054243,5.27914899296583
33,1.6427378520214189,-0.5276541597170852,-0.5512408494319061,1.8143970700935765,0.0,-1.343478420915075,-0.47676403948133256,0.3757117856008916,1.478026134341842,0.0,-0.04089325607169824,0.8810526598169898,2.1436702027185968,2.3700137058918727,0.0,5.2775938983275505,0.019587295153618456,3.116220142876352,5.301663897697236
37,0.01546073180156164,0.8111250207009133,-1.0310548452309516,1.3162069056421848,0.0,1.4972294472291185,0.08365509694414978,1.7813007912396852,2.330856150198234,0.0,-1.2912131451939122,-0.5715134574964028,1.491960682762262,2.1127050616824117,0.0,5.276995308665118,-0.019104058192599638,3.1063381846001135,5.290924757681505
39,0.5746679788069842,-1.4751646667386384,0.3215524846460768,1.6189236459429903,0.0,-1.5144520182999346,0.27091143390757694,2.0703202383061656,2.5815397539154343,0.0,0.8341214377855092,1.0330627240431585,-0.36262736170720844,1.4622560475404323,0.0,5.278570874259905,0.0044899683060624085,3.096678504636455,5.282810239646706
